unix,date,symbol,open,high,low,close,Volume EOS,Volume USD
1582588800,2020-02-25 00:00:00,EOS/USD,4.12,4.24,3.878,4.071,2936054.77,721231.0
1582502400,2020-02-24 00:00:00,EOS/USD,4.392,4.418,3.911,4.12,4043110.19,979085.7
1582416000,2020-02-23 00:00:00,EOS/USD,4.116,4.416,4.09,4.392,2296263.0,536006.4
1582329600,2020-02-22 00:00:00,EOS/USD,4.063,4.16,3.977,4.116,1089175.13,267674.1
1582243200,2020-02-21 00:00:00,EOS/USD,4.006,4.198,3.95,4.063,2360420.55,576673.5
1582156800,2020-02-20 00:00:00,EOS/USD,3.979,4.061,3.803,4.006,4202380.58,1055974.9
1582070400,2020-02-19 00:00:00,EOS/USD,4.594,4.615,3.653,3.979,8057455.69,1983890.4
1581984000,2020-02-18 00:00:00,EOS/USD,4.344,4.66,4.259,4.594,3707364.76,823578.1
1581897600,2020-02-17 00:00:00,EOS/USD,4.39,4.419,4.038,4.344,4001788.68,941110.8
1581811200,2020-02-16 00:00:00,EOS/USD,4.75,4.863,4.008,4.39,5254617.28,1187697.7
1581724800,2020-02-15 00:00:00,EOS/USD,5.385,5.41,4.498,4.75,7036027.16,1455657.0
1581638400,2020-02-14 00:00:00,EOS/USD,5.372,5.444,5.235,5.385,2033951.67,380807.2
1581552000,2020-02-13 00:00:00,EOS/USD,5.34,5.506,5.178,5.372,3330923.62,624392.5
1581465600,2020-02-12 00:00:00,EOS/USD,5.272,5.486,5.254,5.34,3619810.08,674914.6
1581379200,2020-02-11 00:00:00,EOS/USD,4.894,5.325,4.788,5.272,3331354.75,654437.5
1581292800,2020-02-10 00:00:00,EOS/USD,5.014,5.05,4.73,4.894,3218220.05,663086.2
1581206400,2020-02-09 00:00:00,EOS/USD,4.768,5.047,4.767,5.014,3089159.67,624816.3
1581120000,2020-02-08 00:00:00,EOS/USD,4.588,4.849,4.424,4.768,1967880.45,418905.9
1581033600,2020-02-07 00:00:00,EOS/USD,4.592,4.699,4.512,4.588,1677773.25,364641.4
1580947200,2020-02-06 00:00:00,EOS/USD,4.521,4.665,4.419,4.592,2358126.53,518852.2
1580860800,2020-02-05 00:00:00,EOS/USD,4.215,4.587,4.164,4.521,2680062.69,606509.5
1580774400,2020-02-04 00:00:00,EOS/USD,4.195,4.255,4.058,4.215,1483344.14,356895.7
1580688000,2020-02-03 00:00:00,EOS/USD,4.206,4.379,4.128,4.195,2120656.04,502312.8
1580601600,2020-02-02 00:00:00,EOS/USD,4.148,4.329,4.035,4.206,1756682.59,417345.7
1580515200,2020-02-01 00:00:00,EOS/USD,4.139,4.264,4.062,4.148,1148570.44,275735.6
1580428800,2020-01-31 00:00:00,EOS/USD,4.321,4.368,4.012,4.139,3069383.06,736010.6
1580342400,2020-01-30 00:00:00,EOS/USD,3.956,4.4,3.879,4.321,3226598.55,772108.9
1580256000,2020-01-29 00:00:00,EOS/USD,4.05,4.119,3.949,3.956,1797219.66,445782.9
1580169600,2020-01-28 00:00:00,EOS/USD,3.954,4.145,3.861,4.05,2706763.28,674560.6
1580083200,2020-01-27 00:00:00,EOS/USD,3.639,4.049,3.637,3.954,2855457.16,733297.9
1579996800,2020-01-26 00:00:00,EOS/USD,3.487,3.661,3.423,3.639,662360.55,185342.0
1579910400,2020-01-25 00:00:00,EOS/USD,3.629,3.633,3.482,3.487,777853.24,219458.9
1579824000,2020-01-24 00:00:00,EOS/USD,3.568,3.699,3.35,3.629,1094068.32,308640.4
1579737600,2020-01-23 00:00:00,EOS/USD,3.64,3.645,3.485,3.568,792157.07,223471.2
1579651200,2020-01-22 00:00:00,EOS/USD,3.649,3.742,3.584,3.64,1804788.0,494743.5
1579564800,2020-01-21 00:00:00,EOS/USD,3.613,3.684,3.546,3.649,670673.0,185186.2
1579478400,2020-01-20 00:00:00,EOS/USD,3.61,3.698,3.482,3.613,915527.3,254338.7
1579392000,2020-01-19 00:00:00,EOS/USD,3.798,3.935,3.412,3.61,2486339.39,682077.3
1579305600,2020-01-18 00:00:00,EOS/USD,3.899,4.0,3.7,3.798,2239599.85,582122.4
1579219200,2020-01-17 00:00:00,EOS/USD,3.828,4.067,3.737,3.899,3730677.2,953347.4
1579132800,2020-01-16 00:00:00,EOS/USD,3.768,3.955,3.528,3.828,3393724.7,909657.7
1579046400,2020-01-15 00:00:00,EOS/USD,3.813,3.948,3.574,3.768,2853147.83,759857.5
1578960000,2020-01-14 00:00:00,EOS/USD,3.104,4.072,3.104,3.813,5435171.17,1499719.9
1578873600,2020-01-13 00:00:00,EOS/USD,3.209,3.211,3.067,3.104,963028.35,309337.1
1578787200,2020-01-12 00:00:00,EOS/USD,2.988,3.213,2.927,3.209,1020827.31,326054.1
1578700800,2020-01-11 00:00:00,EOS/USD,2.979,3.137,2.935,2.988,1163523.28,385053.6
1578614400,2020-01-10 00:00:00,EOS/USD,2.744,3.0,2.649,2.979,1092145.45,381737.6
1578528000,2020-01-09 00:00:00,EOS/USD,2.77,2.793,2.69,2.744,697178.5,255687.6
1578441600,2020-01-08 00:00:00,EOS/USD,2.851,2.975,2.71,2.77,1381334.87,488280.7
1578355200,2020-01-07 00:00:00,EOS/USD,2.851,2.89,2.755,2.851,1111720.45,391275.0
1578268800,2020-01-06 00:00:00,EOS/USD,2.686,2.859,2.679,2.851,994061.82,357141.7
1578182400,2020-01-05 00:00:00,EOS/USD,2.647,2.771,2.647,2.686,578478.37,213400.0
1578096000,2020-01-04 00:00:00,EOS/USD,2.632,2.8,2.62,2.647,565595.83,213984.1
1578009600,2020-01-03 00:00:00,EOS/USD,2.452,2.66,2.425,2.632,670681.44,263084.7
1577923200,2020-01-02 00:00:00,EOS/USD,2.59,2.6,2.412,2.452,718611.64,286403.4
1577836800,2020-01-01 00:00:00,EOS/USD,2.571,2.629,2.562,2.59,341967.89,131518.7
