unix,date,symbol,open,high,low,close,Volume LIN,Volume USD
1583020800,2020-03-01 00:00:00,LINK/USD,4.059,4.249,3.752,3.863,16138168.9,4049679.02
1582934400,2020-02-29 00:00:00,LINK/USD,4.18,4.36,4.05,4.059,13693332.43,3242972.36
1582848000,2020-02-28 00:00:00,LINK/USD,3.951,4.24,3.77,4.18,17234242.6,4306118.39
1582761600,2020-02-27 00:00:00,LINK/USD,3.563,4.139,3.42,3.951,20031590.38,5206212.84
1582675200,2020-02-26 00:00:00,LINK/USD,3.489,3.85,3.26,3.563,23408967.04,6588429.11
1582588800,2020-02-25 00:00:00,LINK/USD,3.92,3.957,3.481,3.489,15308329.0,4176578.1
1582502400,2020-02-24 00:00:00,LINK/USD,4.255,4.299,3.765,3.92,14504183.76,3658582.98
1582416000,2020-02-23 00:00:00,LINK/USD,4.119,4.39,4.08,4.255,6760415.17,1592403.83
1582329600,2020-02-22 00:00:00,LINK/USD,4.282,4.358,4.043,4.119,7326888.5,1762507.01
1582243200,2020-02-21 00:00:00,LINK/USD,4.272,4.541,4.199,4.282,11052207.52,2540389.18
1582156800,2020-02-20 00:00:00,LINK/USD,4.396,4.489,4.07,4.272,16122322.21,3770386.88
1582070400,2020-02-19 00:00:00,LINK/USD,4.566,4.88,4.152,4.396,25078670.91,5427691.82
1581984000,2020-02-18 00:00:00,LINK/USD,4.303,4.635,4.145,4.566,16534051.64,3714325.65
1581897600,2020-02-17 00:00:00,LINK/USD,4.465,4.55,3.85,4.303,24623944.48,5875768.79
1581811200,2020-02-16 00:00:00,LINK/USD,4.303,4.862,4.03,4.465,33136423.9,7409013.83
1581724800,2020-02-15 00:00:00,LINK/USD,4.443,4.64,4.055,4.303,28816063.79,6598863.99
1581638400,2020-02-14 00:00:00,LINK/USD,3.876,4.515,3.781,4.443,18557572.88,4391195.91
1581552000,2020-02-13 00:00:00,LINK/USD,4.006,4.119,3.708,3.876,12269015.13,3110859.89
1581465600,2020-02-12 00:00:00,LINK/USD,4.04,4.228,3.845,4.006,26145201.12,6484561.02
1581379200,2020-02-11 00:00:00,LINK/USD,3.381,4.04,3.35,4.04,18806558.04,5055805.22
1581292800,2020-02-10 00:00:00,LINK/USD,3.52,3.52,3.28,3.381,8044741.95,2367798.1
1581206400,2020-02-09 00:00:00,LINK/USD,3.424,3.52,3.225,3.52,9259880.03,2747155.2
1581120000,2020-02-08 00:00:00,LINK/USD,3.306,3.49,3.122,3.424,10083123.44,3032121.81
1581033600,2020-02-07 00:00:00,LINK/USD,2.891,3.37,2.883,3.306,17392835.04,5461276.04
1580947200,2020-02-06 00:00:00,LINK/USD,2.835,2.94,2.8,2.891,4009292.69,1391005.06
1580860800,2020-02-05 00:00:00,LINK/USD,2.735,2.886,2.716,2.835,3777182.35,1338803.11
1580774400,2020-02-04 00:00:00,LINK/USD,2.774,2.807,2.674,2.735,2483226.53,910443.53
1580688000,2020-02-03 00:00:00,LINK/USD,2.822,2.88,2.74,2.774,2451134.83,878524.95
1580601600,2020-02-02 00:00:00,LINK/USD,2.837,2.885,2.731,2.822,2563540.78,904731.07
1580515200,2020-02-01 00:00:00,LINK/USD,2.814,2.885,2.744,2.837,2807679.69,999534.93
1580428800,2020-01-31 00:00:00,LINK/USD,2.913,2.914,2.75,2.814,3072737.56,1083268.64
1580342400,2020-01-30 00:00:00,LINK/USD,2.773,2.94,2.704,2.913,6201545.88,2175751.59
1580256000,2020-01-29 00:00:00,LINK/USD,2.659,2.833,2.626,2.773,5889155.07,2158402.78
1580169600,2020-01-28 00:00:00,LINK/USD,2.601,2.67,2.57,2.659,2647354.28,1008360.15
1580083200,2020-01-27 00:00:00,LINK/USD,2.57,2.68,2.56,2.601,3201986.95,1221942.27
1579996800,2020-01-26 00:00:00,LINK/USD,2.445,2.577,2.42,2.57,1931085.98,767972.05
1579910400,2020-01-25 00:00:00,LINK/USD,2.499,2.509,2.416,2.445,1461784.65,595995.2
1579824000,2020-01-24 00:00:00,LINK/USD,2.468,2.536,2.356,2.499,3583653.21,1459334.43
1579737600,2020-01-23 00:00:00,LINK/USD,2.635,2.648,2.392,2.468,5359722.67,2160187.93
1579651200,2020-01-22 00:00:00,LINK/USD,2.67,2.685,2.61,2.635,1819896.5,687810.73
1579564800,2020-01-21 00:00:00,LINK/USD,2.687,2.745,2.571,2.67,3230216.48,1207185.12
1579478400,2020-01-20 00:00:00,LINK/USD,2.623,2.744,2.541,2.687,3452830.55,1297707.86
1579392000,2020-01-19 00:00:00,LINK/USD,2.77,2.85,2.527,2.623,7330043.69,2735179.62
1579305600,2020-01-18 00:00:00,LINK/USD,2.689,2.787,2.57,2.77,5197837.09,1916584.7
1579219200,2020-01-17 00:00:00,LINK/USD,2.49,2.855,2.455,2.689,13451460.51,5025878.83
1579132800,2020-01-16 00:00:00,LINK/USD,2.4,2.5,2.281,2.49,5226743.13,2169008.35
1579046400,2020-01-15 00:00:00,LINK/USD,2.381,2.556,2.34,2.4,7673254.22,3133023.87
1578960000,2020-01-14 00:00:00,LINK/USD,2.19,2.48,2.182,2.381,7982476.62,3410954.94
1578873600,2020-01-13 00:00:00,LINK/USD,2.241,2.241,2.154,2.19,2049781.51,938898.9
1578787200,2020-01-12 00:00:00,LINK/USD,2.28,2.315,2.212,2.241,2035361.54,903959.84
1578700800,2020-01-11 00:00:00,LINK/USD,2.231,2.349,2.22,2.28,4314984.62,1879728.53
1578614400,2020-01-10 00:00:00,LINK/USD,2.196,2.25,2.145,2.231,4017026.01,1814703.4
1578528000,2020-01-09 00:00:00,LINK/USD,2.193,2.24,2.102,2.196,3067860.4,1416106.79
1578441600,2020-01-08 00:00:00,LINK/USD,2.109,2.35,2.104,2.193,9404625.76,4253295.25
1578355200,2020-01-07 00:00:00,LINK/USD,1.942,2.14,1.901,2.109,5652880.47,2770259.29
1578268800,2020-01-06 00:00:00,LINK/USD,1.798,1.947,1.795,1.942,2115942.02,1121579.19
1578182400,2020-01-05 00:00:00,LINK/USD,1.825,1.84,1.784,1.798,701482.09,385410.11
1578096000,2020-01-04 00:00:00,LINK/USD,1.8,1.84,1.785,1.825,691175.82,381661.24
1578009600,2020-01-03 00:00:00,LINK/USD,1.735,1.827,1.7,1.8,1405518.55,790070.94
1577923200,2020-01-02 00:00:00,LINK/USD,1.802,1.809,1.702,1.735,1194912.35,681439.89
1577836800,2020-01-01 00:00:00,LINK/USD,1.76,1.85,1.755,1.802,916423.49,507823.91
