unix,date,symbol,open,high,low,close,Volume ETC,Volume USD
1578873600,2020-01-13 00:00:00,ETC/USD,5.573,5.591,5.321,5.464,817450.28,150504.0
1578787200,2020-01-12 00:00:00,ETC/USD,5.574,5.646,5.366,5.573,965653.99,175148.3
1578700800,2020-01-11 00:00:00,ETC/USD,5.36,5.824,5.321,5.574,2500382.39,447262.21
1578614400,2020-01-10 00:00:00,ETC/USD,5.18,5.407,4.91,5.36,1473883.73,285784.83
1578528000,2020-01-09 00:00:00,ETC/USD,4.955,5.209,4.87,5.18,1522976.69,300393.02
1578441600,2020-01-08 00:00:00,ETC/USD,4.84,5.06,4.71,4.955,1181885.8,241558.11
1578355200,2020-01-07 00:00:00,ETC/USD,5.044,5.08,4.714,4.84,1705036.95,350797.9
1578268800,2020-01-06 00:00:00,ETC/USD,4.873,5.145,4.85,5.044,1490607.44,298791.27
1578182400,2020-01-05 00:00:00,ETC/USD,4.758,5.002,4.728,4.873,1411377.31,289372.64
1578096000,2020-01-04 00:00:00,ETC/USD,4.569,4.768,4.523,4.758,614972.58,132552.12
1578009600,2020-01-03 00:00:00,ETC/USD,4.218,4.62,4.171,4.569,708990.66,159560.11
1577923200,2020-01-02 00:00:00,ETC/USD,4.476,4.495,4.16,4.218,628975.95,144669.78
1577836800,2020-01-01 00:00:00,ETC/USD,4.473,4.557,4.454,4.476,287704.12,63810.77
1577750400,2019-12-31 00:00:00,ETC/USD,4.606,4.767,4.42,4.473,905226.45,197476.68
1577664000,2019-12-30 00:00:00,ETC/USD,4.639,4.84,4.523,4.606,661305.59,142220.04
1577577600,2019-12-29 00:00:00,ETC/USD,4.401,4.844,4.379,4.639,896141.15,193270.93
1577491200,2019-12-28 00:00:00,ETC/USD,4.492,4.542,4.368,4.401,450606.59,101187.66
1577404800,2019-12-27 00:00:00,ETC/USD,4.487,4.669,4.357,4.492,1082708.8,241077.67
1577318400,2019-12-26 00:00:00,ETC/USD,4.039,4.772,4.034,4.487,2027002.14,458983.65
1577232000,2019-12-25 00:00:00,ETC/USD,3.926,4.08,3.901,4.039,363896.55,90584.2
1577145600,2019-12-24 00:00:00,ETC/USD,4.0,4.0,3.884,3.926,195151.02,49399.68
1577059200,2019-12-23 00:00:00,ETC/USD,4.197,4.238,3.949,4.0,699742.21,169654.3
1576972800,2019-12-22 00:00:00,ETC/USD,4.091,4.267,4.054,4.197,498957.43,119161.77
1576886400,2019-12-21 00:00:00,ETC/USD,4.05,4.171,3.986,4.091,500600.77,122639.99
1576800000,2019-12-20 00:00:00,ETC/USD,3.727,4.223,3.68,4.05,784869.79,196563.98
1576713600,2019-12-19 00:00:00,ETC/USD,3.775,3.829,3.66,3.727,192923.88,51692.36
